"quality","radius","falling","offset_sign","offset_power","mu","gpu_status","gpu_phi","cpu_status","cpu_phi","raw_error"
"FAST","1.0","true","-1","7","-0.7419356","0.0","1.0","0","NaN","NaN"
"FAST","1.0","true","1","7","-0.7419354","1.0","15.973108","1","16.633931580684155","0.6608232890581789"
"FAST","0.7067775","true","-1","2","-0.6811601","0.0","1.0","0","NaN","NaN"
"FAST","0.7067775","true","1","2","-0.6611601","1.0","5.100485","1","5.100471631324824","1.3216697636764252E-5"
"FAST","0.7067775","true","-1","3","-0.6721601","0.0","1.0","0","NaN","NaN"
"FAST","0.7067775","true","1","3","-0.6701601","1.0","7.441093","1","7.440691627469925","4.0134051713547336E-4"
"FAST","0.7067775","true","-1","4","-0.6712601","0.0","1.0","0","NaN","NaN"
"FAST","0.7067775","true","1","4","-0.6710601","1.0","9.756361","1","9.749689704641316","0.006671303049113675"
"FAST","0.7067775","true","-1","5","-0.6711701","0.0","1.0","0","NaN","NaN"
"FAST","0.7067775","true","1","5","-0.6711501","1.0","12.093293","1","12.052194956658713","0.0410982333437282"
"FAST","0.7067775","true","-1","6","-0.6711611","0.0","1.0","0","NaN","NaN"
"FAST","0.7067775","true","1","6","-0.6711591","1.0","14.625768","1","14.34486918456855","0.28089852325615716"
"FAST","0.7067775","true","-1","7","-0.6711602","0.0","1.0","0","NaN","NaN"
"FAST","0.7067775","true","1","7","-0.67116","2.0","1.0","1","16.500129602964858","NaN"
"FAST","0.35","true","-1","2","-0.5337132","0.0","1.0","0","NaN","NaN"
"FAST","0.35","true","1","2","-0.51371324","1.0","4.6450653","1","4.644648215844274","4.170917729133805E-4"
"FAST","0.35","true","-1","3","-0.5247132","0.0","1.0","0","NaN","NaN"
"FAST","0.35","true","1","3","-0.52271324","1.0","7.045186","1","7.040260693478565","0.00492534930707933"
"FAST","0.35","true","-1","4","-0.52381325","0.0","1.0","0","NaN","NaN"
"FAST","0.35","true","1","4","-0.5236133","1.0","9.404293","1","9.361129236000972","0.04316382430176269"
"FAST","0.35","true","-1","5","-0.52372324","0.0","1.0","0","NaN","NaN"
"FAST","0.35","true","1","5","-0.5237032","1.0","12.431774","1","11.663120881650359","0.7686532577539378"
"FAST","0.35","true","-1","6","-0.52371424","0.0","1.0","0","NaN","NaN"
"FAST","0.35","true","1","6","-0.5237122","2.0","1.0","1","13.940251515531822","NaN"
"FAST","0.35","true","-1","7","-0.52371335","0.0","1.0","0","NaN","NaN"
"FAST","0.35","true","1","7","-0.5237132","2.0","1.0","1","16.552907694865","NaN"
